GRP,SPECIES_ID,ALPHA_CODE,SPECIES_NAME,SCIENTIFIC_NAME
_01,1770,BBWD,Black-bellied Whistling-Duck,Dendrocygna autumnalis
_01,1771,WIWD,West Indian Whistling-Duck,Dendrocygna arborea
_01,1780,FUWD,Fulvous Whistling-Duck,Dendrocygna bicolor
_01,1710,GWFG,Greater White-fronted Goose,Anser albifrons
_01,1719,TWFG,Tule White-fronted Goose,Anser albifrons elgasi
_01,1760,EMGO,Emperor Goose,Anser canagicus
_01,1690,LSGO,Lesser Snow Goose,Anser caerulescens caerulescens
_01,1691,BLGO,Blue Goose,Anser caerulescens
_01,1695,SBGI,Snow X Blue Goose Intergrade,Anser caerulescens
_01,1698,BGSG,Blue Greater Snow Goose,Anser caerulescens atlantica
_01,1699,GSGO,Greater Snow Goose,Anser caerulescens atlantica
_01,1703,SRGH,Snow X Ross's Goose Hybrid,Anser caerulescens x rossii
_01,1700,ROGO,Ross's Goose,Anser rossii
_02,1720,CAGO,Canada Goose,Branta canadensis
_03,1730,ATBR,Atlantic Brant,Branta bernicla hrota
_03,1731,BABI,Black X Atlantic Brant Intergrade,Branta bernicla hrota x bernicla nigricans
_03,1740,BLBR,Black Brant,Branta bernicla nigricans
_03,1750,BRNG,Barnacle Goose,Branta leucopsis
_03,1722,CACG,Cackling Goose,Branta hutchinsii
_03,1721,ACGO,Aleutian Canada Goose,Branta hutchinsii leucopareia
_03,1723,LCGO,Large Canada Goose,Branta canadensis maxima
_03,1729,SCGO,Small Canada Goose,Branta canadensis parvipes
_03,1751,HAGO,Hawaiian Goose,Branta sandvicensis
_03,1716,OHGO,Other Hybrid Goose,
_03,1782,MUSW,Mute Swan,Cygnus olor
_03,1810,TRUS,Trumpeter Swan,Cygnus buccinator
_03,1800,WHSW,Whistling (Tundra) Swan,Cygnus columbianus columbianus
_03,1801,BESW,Bewick's Swan,Cygnus columbianus bewickii
_03,1790,WHOS,Whooper Swan,Cygnus cygnus
_04,1440,WODU,Wood Duck,Aix sponsa
_05,1400,BWTE,Blue-winged Teal,Spatula discors
_06,1392,GARG,Garganey,Spatula querquedula
_06,1410,CITE,Cinnamon Teal,Spatula cyanoptera
_06,1420,NSHO,Northern Shoveler,Spatula clypeata
_06,1350,GADW,Gadwall,Mareca strepera
_06,1360,EUWI,Eurasian Wigeon,Mareca penelope
_06,1370,AMWI,American Wigeon,Mareca americana
_07,1430,NOPI,Northern Pintail,Anas acuta
_08,1320,MALL,Mallard,Anas platyrhynchos
_09,1322,LADU,Laysan Duck,Anas laysanensis
_09,1321,HAWD,Hawaiian Duck,Anas wyvilliana
_09,1337,ABDX,American Black Duck Dominant X Mallard Hybrid,Anas rubripes x platyrhynchos
_09,1325,MBDX,Mallard X American Black Duck Intermediate,Anas platyrhynchos x rubripes
_09,1326,MBDH,Mallard X American Black Duck Hybrid,Anas platyrhynchos x rubripes
_09,1327,MALX,Mallard Dominant X American Black Duck Hybrid,Anas platyrhynchos x rubripes
