,SPECIES_ID,ALPHA_CODE,SPECIES_NAME,SCI_NAME,RECOMENDSIZE,ALLOWABLESIZE,ENDANGERED,RAPTOR,GAMEBIRD,BBL_GRP,COUNT(1)
1,1770,BBWD,Black-bellied Whistling-Duck,Dendrocygna autumnalis,7A   7,7A   7   7B,,,Y,_01,42437
2,1771,WIWD,West Indian Whistling-Duck,Dendrocygna arborea,7B,7B,,,Y,_01,39
3,1780,FUWD,Fulvous Whistling-Duck,Dendrocygna bicolor,7A   7,7A   7   6,,,Y,_01,7042
4,1710,GWFG,Greater White-fronted Goose,Anser albifrons,7B   8,7B   8,,,Y,_01,217817
5,1719,TWFG,Tule White-fronted Goose,Anser albifrons elgasi,8,8,,,Y,_01,1503
6,1760,EMGO,Emperor Goose,Anser canagicus,7B,7B   7,,,Y,_01,12029
7,1690,LSGO,Lesser Snow Goose,Anser caerulescens caerulescens,7B,7B   7,,,Y,_01,708391
8,1691,BLGO,Blue Goose,Anser caerulescens,7B,7B   7,,,Y,_01,308691
9,1695,SBGI,Snow X Blue Goose Intergrade,Anser caerulescens,7B,7B,,,Y,_01,24116
10,1698,BGSG,Blue Greater Snow Goose,Anser caerulescens atlantica,7B,7B,,,Y,_01,454
11,1699,GSGO,Greater Snow Goose,Anser caerulescens atlantica,7B,7B,,,Y,_01,176258
12,1703,SRGH,Snow X Ross's Goose Hybrid,Anser caerulescens x rossii,7B,7B,,,Y,_01,1041
13,1700,ROGO,Ross's Goose,Anser rossii,7B,7B,,,Y,_01,249492
14,1730,ATBR,Atlantic Brant,Branta bernicla hrota,7B   7,7B   7   7A,,,Y,_03,67386
15,1731,BABI,Black X Atlantic Brant Intergrade,Branta bernicla hrota x bernicla nigricans,7A   7   7B,7A   7   7B,,,Y,_03,2142
16,1740,BLBR,Black Brant,Branta bernicla nigricans,7A   7   7B,7A   7   7B,,,Y,_03,165157
17,1750,BRNG,Barnacle Goose,Branta leucopsis,7B,7B,,,,_03,16
18,1722,CACG,Cackling Goose,Branta hutchinsii,7A   7   7B,7A   7   7B,,,Y,_03,56078
19,1721,ACGO,Aleutian Canada Goose,Branta hutchinsii leucopareia,7B   7,7B   7   7A,,,Y,_03,15999
20,1720,CAGO,Canada Goose,Branta canadensis,8,8   8A,,,Y,_02,5008442
21,1723,LCGO,Large Canada Goose,Branta canadensis maxima,8,8   8A,,,Y,_03,620779
22,1729,SCGO,Small Canada Goose,Branta canadensis parvipes,7B   7,7B   7   7D,,,Y,_03,240149
23,1751,HAGO,Hawaiian Goose,Branta sandvicensis,8   7B,8   7B   8A,Y,,,_03,10070
24,1716,OHGO,Other Hybrid Goose,,8   7B,8   7B,,,,_03,60
25,1782,MUSW,Mute Swan,Cygnus olor,9C,9C   9   9A,,,,_03,3234
26,1810,TRUS,Trumpeter Swan,Cygnus buccinator,9C   9,9C   9,,,Y,_03,26777
27,1800,WHSW,Whistling Swan,Cygnus columbianus columbianus,9,9   9C,,,Y,_03,31046
28,1801,BESW,Bewick's Swan,Cygnus columbianus bewickii,9,9,,,,_03,2
29,1790,WHOS,Whooper Swan,Cygnus cygnus,9,9,,,,_03,7
30,1440,WODU,Wood Duck,Aix sponsa,M: 5A   6   5 / F: 5A   5   6,M: 5A   6   5 / F: 5A   5   6,,,Y,_04,2166814
31,1392,GARG,Garganey,Spatula querquedula,4A   4,4A   4,,,Y,_06,6
32,1400,BWTE,Blue-winged Teal,Spatula discors,5   4A,5   4A   4   5A,,,Y,_05,1693424
33,1410,CITE,Cinnamon Teal,Spatula cyanoptera,5   4A,5   4A   4   5A,,,Y,_06,48935
34,1420,NSHO,Northern Shoveler,Spatula clypeata,5   6   5A,5   6   5A,,,Y,_06,37436
35,1350,GADW,Gadwall,Mareca strepera,6,6   5A   7A,,,Y,_06,170078
36,1360,EUWI,Eurasian Wigeon,Mareca penelope,6,6,,,Y,_06,47
37,1370,AMWI,American Wigeon,Mareca americana,6,6   5A   7A,,,Y,_06,176237
38,1322,LADU,Laysan Duck,Anas laysanensis,5   5A   6,5   5A   6,Y,,,_09,3119
