BAND,ORIGINAL_BAND,EVENT_TYPE,EVENT_DATE,EVENT_YEAR,ISO_COUNTRY,LAT_DD,LON_DD,CP,BAND_TYPE,SPECIES_ID,BIRD_STATUS,AGE_CODE,SEX_CODE,SPECIES_NAME,SCIENTIFIC_NAME,AGE_DESCRIPTION,SEX_DESCRIPTION
B42833274067,B42833274067,B,09/03/2020,2020,US,42.255,-84.53861,0.0,11,4280,3.0,2.0,4.0,Ruby-throated Hummingbird,Archilochus colubris,Hatching Year,Male
B82833274098,B82833274098,B,09/02/2020,2020,US,42.57917,-82.8025,0.0,11,4280,3.0,2.0,4.0,Ruby-throated Hummingbird,Archilochus colubris,Hatching Year,Male
B22833489278,B22833489278,B,09/02/2020,2020,US,42.16972,-85.51806,0.0,11,4280,3.0,2.0,4.0,Ruby-throated Hummingbird,Archilochus colubris,Hatching Year,Male
B23833264044,B23833264044,B,09/02/2020,2020,US,42.16972,-85.51806,0.0,11,4280,3.0,2.0,5.0,Ruby-throated Hummingbird,Archilochus colubris,Hatching Year,Female
B32833273583,B32833273583,B,09/02/2020,2020,US,42.57917,-82.8025,0.0,11,4280,3.0,2.0,5.0,Ruby-throated Hummingbird,Archilochus colubris,Hatching Year,Female
B52833273592,B52833273592,B,09/02/2020,2020,US,42.57917,-82.8025,0.0,11,4280,3.0,2.0,5.0,Ruby-throated Hummingbird,Archilochus colubris,Hatching Year,Female
B63833264053,B63833264053,B,09/02/2020,2020,US,42.16972,-85.51806,0.0,11,4280,3.0,1.0,5.0,Ruby-throated Hummingbird,Archilochus colubris,After Hatching Year,Female
B32833489143,B32833489143,B,09/02/2020,2020,US,42.16972,-85.51806,0.0,11,4280,3.0,2.0,4.0,Ruby-throated Hummingbird,Archilochus colubris,Hatching Year,Male
B22833274004,B22833274004,B,09/02/2020,2020,US,42.57917,-82.8025,0.0,11,4280,3.0,2.0,4.0,Ruby-throated Hummingbird,Archilochus colubris,Hatching Year,Male
B92833489262,B92833489262,B,09/02/2020,2020,US,42.16972,-85.51806,0.0,11,4280,3.0,2.0,4.0,Ruby-throated Hummingbird,Archilochus colubris,Hatching Year,Male
B92833274953,B92833274953,B,09/03/2020,2020,US,42.255,-84.53861,0.0,11,4280,3.0,2.0,4.0,Ruby-throated Hummingbird,Archilochus colubris,Hatching Year,Male
B02833274074,B02833274074,B,09/03/2020,2020,US,42.255,-84.53861,0.0,11,4280,3.0,2.0,4.0,Ruby-throated Hummingbird,Archilochus colubris,Hatching Year,Male
B82833273452,B82833273452,B,09/03/2020,2020,US,42.255,-84.53861,0.0,11,4280,3.0,1.0,5.0,Ruby-throated Hummingbird,Archilochus colubris,After Hatching Year,Female
B33833264036,B33833264036,B,09/02/2020,2020,US,42.16972,-85.51806,0.0,11,4280,3.0,1.0,5.0,Ruby-throated Hummingbird,Archilochus colubris,After Hatching Year,Female
B22833273562,B22833273562,B,09/03/2020,2020,US,42.255,-84.53861,0.0,11,4280,3.0,1.0,5.0,Ruby-throated Hummingbird,Archilochus colubris,After Hatching Year,Female
B72833273577,B72833273577,B,09/03/2020,2020,US,42.255,-84.53861,0.0,11,4280,3.0,1.0,5.0,Ruby-throated Hummingbird,Archilochus colubris,After Hatching Year,Female
B22833274082,B22833274082,B,09/03/2020,2020,US,42.255,-84.53861,0.0,11,4280,3.0,2.0,4.0,Ruby-throated Hummingbird,Archilochus colubris,Hatching Year,Male
B03833264073,B03833264073,B,09/03/2020,2020,US,42.16972,-85.51806,0.0,11,4280,3.0,1.0,5.0,Ruby-throated Hummingbird,Archilochus colubris,After Hatching Year,Female
B33833264083,B33833264083,B,09/03/2020,2020,US,42.16972,-85.51806,0.0,11,4280,3.0,2.0,5.0,Ruby-throated Hummingbird,Archilochus colubris,Hatching Year,Female
