BAND,ORIGINAL_BAND,EVENT_TYPE,EVENT_DATE,EVENT_YEAR,ISO_COUNTRY,LAT_DD,LON_DD,CP,BAND_TYPE,SPECIES_ID,BIRD_STATUS,AGE_CODE,SEX_CODE,SPECIES_NAME,SCIENTIFIC_NAME,AGE_DESCRIPTION,SEX_DESCRIPTION
B28727737547,B28727737547,B,06/15/2020,2020,US,61.14778,-149.75389,0.0,W2,3720,3.0,4.0,0.0,Northern Saw-whet Owl,Aegolius acadicus,Local,Unknown
B38727737357,B38727737357,B,06/16/2020,2020,US,61.14778,-149.75389,0.0,W2,3720,3.0,4.0,0.0,Northern Saw-whet Owl,Aegolius acadicus,Local,Unknown
B78727737488,B78727737488,B,06/16/2020,2020,US,61.21417,-149.26611,0.0,W2,3720,3.0,4.0,0.0,Northern Saw-whet Owl,Aegolius acadicus,Local,Unknown
B78727737407,B78727737407,B,06/16/2020,2020,US,61.21417,-149.26611,0.0,W2,3720,3.0,4.0,0.0,Northern Saw-whet Owl,Aegolius acadicus,Local,Unknown
B38727737418,B38727737418,B,06/16/2020,2020,US,61.21417,-149.26611,0.0,W2,3720,3.0,4.0,0.0,Northern Saw-whet Owl,Aegolius acadicus,Local,Unknown
B78727737427,B78727737427,B,06/16/2020,2020,US,61.21417,-149.26611,0.0,W2,3720,3.0,4.0,0.0,Northern Saw-whet Owl,Aegolius acadicus,Local,Unknown
B38727737497,B38727737497,B,06/16/2020,2020,US,61.21417,-149.26611,0.0,W2,3720,3.0,4.0,0.0,Northern Saw-whet Owl,Aegolius acadicus,Local,Unknown
B48727737432,B48727737432,B,06/16/2020,2020,US,61.21417,-149.26611,0.0,W2,3720,3.0,4.0,0.0,Northern Saw-whet Owl,Aegolius acadicus,Local,Unknown
B88727737447,B88727737447,B,06/16/2020,2020,US,61.21417,-149.26611,0.0,W2,3720,3.0,4.0,0.0,Northern Saw-whet Owl,Aegolius acadicus,Local,Unknown
B28727737463,B28727737463,B,06/16/2020,2020,US,61.14778,-149.75389,0.0,W2,3720,3.0,4.0,0.0,Northern Saw-whet Owl,Aegolius acadicus,Local,Unknown
B78727737567,B78727737567,B,06/16/2020,2020,US,61.21417,-149.26611,0.0,W2,3720,3.0,4.0,0.0,Northern Saw-whet Owl,Aegolius acadicus,Local,Unknown
B88727737527,B88727737527,B,06/15/2020,2020,US,61.14778,-149.75389,0.0,W2,3720,3.0,4.0,0.0,Northern Saw-whet Owl,Aegolius acadicus,Local,Unknown
B58727737517,B58727737517,B,06/15/2020,2020,US,61.14778,-149.75389,0.0,W2,3720,3.0,4.0,0.0,Northern Saw-whet Owl,Aegolius acadicus,Local,Unknown
B78727737533,B78727737533,B,06/15/2020,2020,US,61.14778,-149.75389,0.0,W2,3720,3.0,4.0,0.0,Northern Saw-whet Owl,Aegolius acadicus,Local,Unknown
B38727737572,B38727737572,B,06/16/2020,2020,US,61.21417,-149.26611,0.0,W2,3720,3.0,4.0,0.0,Northern Saw-whet Owl,Aegolius acadicus,Local,Unknown
B18830387113,B18830387113,B,05/30/2020,2020,US,59.65833,-151.59167,1.0,47,3720,3.0,4.0,0.0,Northern Saw-whet Owl,Aegolius acadicus,Local,Unknown
B78830387108,B78830387108,B,05/30/2020,2020,US,59.65833,-151.59167,1.0,47,3720,3.0,4.0,0.0,Northern Saw-whet Owl,Aegolius acadicus,Local,Unknown
B18830387190,B18830387190,B,05/30/2020,2020,US,59.65833,-151.59167,1.0,47,3720,3.0,4.0,0.0,Northern Saw-whet Owl,Aegolius acadicus,Local,Unknown
B88830387120,B88830387120,B,05/30/2020,2020,US,59.65833,-151.59167,1.0,47,3720,3.0,4.0,0.0,Northern Saw-whet Owl,Aegolius acadicus,Local,Unknown
B08940948679,B08940948679,B,11/04/2020,2020,US,40.75,-75.58333,10.0,47,3720,3.0,5.0,5.0,Northern Saw-whet Owl,Aegolius acadicus,Second Year,Female
