BAND,ORIGINAL_BAND,EVENT_TYPE,EVENT_DATE,EVENT_YEAR,ISO_COUNTRY,LAT_DD,LON_DD,CP,BAND_TYPE,SPECIES_ID,BIRD_STATUS,AGE_CODE,SEX_CODE,SPECIES_NAME,SCIENTIFIC_NAME,AGE_DESCRIPTION,SEX_DESCRIPTION
B98717129268,B98717129268,B,12/26/2020,2020,US,38.5,-121.5,60,W1,1400,3.0,2,4.0,Blue-winged Teal,Spatula discors,Hatching Year,Male
B88717626242,B88717626242,B,8/22/2020,2020,CA,51.5,-107.5,60,W1,1400,3.0,2,4.0,Blue-winged Teal,Spatula discors,Hatching Year,Male
B78717623217,B78717623217,B,8/22/2020,2020,CA,51.5,-107.5,60,W1,1400,3.0,1,4.0,Blue-winged Teal,Spatula discors,After Hatching Year,Male
B18717623226,B18717623226,B,8/22/2020,2020,CA,51.5,-107.5,60,W1,1400,3.0,1,4.0,Blue-winged Teal,Spatula discors,After Hatching Year,Male
B78717623232,B78717623232,B,8/22/2020,2020,CA,51.5,-107.5,60,W1,1400,3.0,1,4.0,Blue-winged Teal,Spatula discors,After Hatching Year,Male
B28717626297,B28717626297,B,8/22/2020,2020,CA,51.5,-107.5,60,W1,1400,3.0,2,4.0,Blue-winged Teal,Spatula discors,Hatching Year,Male
B68717626207,B68717626207,B,8/22/2020,2020,CA,51.5,-107.5,60,W1,1400,3.0,2,4.0,Blue-winged Teal,Spatula discors,Hatching Year,Male
B28717626211,B28717626211,B,8/22/2020,2020,CA,51.5,-107.5,60,W1,1400,3.0,2,4.0,Blue-winged Teal,Spatula discors,Hatching Year,Male
B68717626227,B68717626227,B,8/22/2020,2020,CA,51.5,-107.5,60,W1,1400,3.0,2,4.0,Blue-winged Teal,Spatula discors,Hatching Year,Male
B28717626236,B28717626236,B,8/22/2020,2020,CA,51.5,-107.5,60,W1,1400,3.0,2,4.0,Blue-winged Teal,Spatula discors,Hatching Year,Male
B78717626256,B78717626256,B,8/22/2020,2020,CA,51.5,-107.5,60,W1,1400,3.0,2,4.0,Blue-winged Teal,Spatula discors,Hatching Year,Male
B18717625861,B18717625861,B,8/21/2020,2020,CA,51.5,-107.5,60,W1,1400,3.0,1,5.0,Blue-winged Teal,Spatula discors,After Hatching Year,Female
B68717626367,B68717626367,B,8/22/2020,2020,CA,51.5,-107.5,60,W1,1400,3.0,2,4.0,Blue-winged Teal,Spatula discors,Hatching Year,Male
B28717626376,B28717626376,B,8/22/2020,2020,CA,51.5,-107.5,60,W1,1400,3.0,2,4.0,Blue-winged Teal,Spatula discors,Hatching Year,Male
B68717626382,B68717626382,B,8/22/2020,2020,CA,51.5,-107.5,60,W1,1400,3.0,2,4.0,Blue-winged Teal,Spatula discors,Hatching Year,Male
B38717626396,B38717626396,B,8/22/2020,2020,CA,51.5,-107.5,60,W1,1400,3.0,2,4.0,Blue-winged Teal,Spatula discors,Hatching Year,Male
B18717623383,B18717623383,B,8/22/2020,2020,CA,51.5,-107.5,60,W1,1400,3.0,1,4.0,Blue-winged Teal,Spatula discors,After Hatching Year,Male
B78717623398,B78717623398,B,8/22/2020,2020,CA,51.5,-107.5,60,W1,1400,3.0,1,4.0,Blue-winged Teal,Spatula discors,After Hatching Year,Male
B78717623313,B78717623313,B,8/22/2020,2020,CA,51.5,-107.5,60,W1,1400,3.0,1,4.0,Blue-winged Teal,Spatula discors,After Hatching Year,Male
B68717623328,B68717623328,B,8/22/2020,2020,CA,51.5,-107.5,60,W1,1400,3.0,1,4.0,Blue-winged Teal,Spatula discors,After Hatching Year,Male
B88717623201,B88717623201,B,8/22/2020,2020,CA,51.5,-107.5,60,W1,1400,3.0,1,4.0,Blue-winged Teal,Spatula discors,After Hatching Year,Male
B78717623372,B78717623372,B,8/22/2020,2020,CA,51.5,-107.5,60,W1,1400,3.0,1,4.0,Blue-winged Teal,Spatula discors,After Hatching Year,Male
B88717623366,B88717623366,B,8/22/2020,2020,CA,51.5,-107.5,60,W1,1400,3.0,1,4.0,Blue-winged Teal,Spatula discors,After Hatching Year,Male
B38717623427,B38717623427,B,8/22/2020,2020,CA,51.5,-107.5,60,W1,1400,3.0,1,4.0,Blue-winged Teal,Spatula discors,After Hatching Year,Male
B18717072988,B18717072988,B,8/25/2020,2020,CA,51.5,-107.5,60,W1,1400,3.0,1,4.0,Blue-winged Teal,Spatula discors,After Hatching Year,Male
B58717065581,B58717065581,B,8/23/2020,2020,CA,50.5,-106.5,60,W1,1400,3.0,1,5.0,Blue-winged Teal,Spatula discors,After Hatching Year,Female
B68717625721,B68717625721,B,8/22/2020,2020,CA,51.5,-107.5,60,W1,1400,3.0,1,5.0,Blue-winged Teal,Spatula discors,After Hatching Year,Female
B28717625737,B28717625737,B,8/22/2020,2020,CA,51.5,-107.5,60,W1,1400,3.0,1,5.0,Blue-winged Teal,Spatula discors,After Hatching Year,Female
B58717625746,B58717625746,B,8/22/2020,2020,CA,51.5,-107.5,60,W1,1400,3.0,1,5.0,Blue-winged Teal,Spatula discors,After Hatching Year,Female
B78717625752,B78717625752,B,8/22/2020,2020,CA,51.5,-107.5,60,W1,1400,3.0,1,5.0,Blue-winged Teal,Spatula discors,After Hatching Year,Female
B68717623243,B68717623243,B,8/22/2020,2020,CA,51.5,-107.5,60,W1,1400,3.0,1,4.0,Blue-winged Teal,Spatula discors,After Hatching Year,Male
B28717623258,B28717623258,B,8/22/2020,2020,CA,51.5,-107.5,60,W1,1400,3.0,1,4.0,Blue-winged Teal,Spatula discors,After Hatching Year,Male
B18717623302,B18717623302,B,8/22/2020,2020,CA,51.5,-107.5,60,W1,1400,3.0,1,4.0,Blue-winged Teal,Spatula discors,After Hatching Year,Male
B38717623341,B38717623341,B,8/22/2020,2020,CA,51.5,-107.5,60,W1,1400,3.0,1,4.0,Blue-winged Teal,Spatula discors,After Hatching Year,Male
B38717623357,B38717623357,B,8/22/2020,2020,CA,51.5,-107.5,60,W1,1400,3.0,1,4.0,Blue-winged Teal,Spatula discors,After Hatching Year,Male
B18717623468,B18717623468,B,8/22/2020,2020,CA,51.5,-107.5,60,W1,1400,3.0,1,4.0,Blue-winged Teal,Spatula discors,After Hatching Year,Male
B78717623477,B78717623477,B,8/22/2020,2020,CA,51.5,-107.5,60,W1,1400,3.0,1,4.0,Blue-winged Teal,Spatula discors,After Hatching Year,Male
B68717623481,B68717623481,B,8/22/2020,2020,CA,51.5,-107.5,60,W1,1400,3.0,1,4.0,Blue-winged Teal,Spatula discors,After Hatching Year,Male
B28717623497,B28717623497,B,8/22/2020,2020,CA,51.5,-107.5,60,W1,1400,3.0,1,4.0,Blue-winged Teal,Spatula discors,After Hatching Year,Male
B68717623407,B68717623407,B,8/22/2020,2020,CA,51.5,-107.5,60,W1,1400,3.0,1,4.0,Blue-winged Teal,Spatula discors,After Hatching Year,Male
